DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@18e4551
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@3ea48c37
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@3ea48c37
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@11e834ad
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@11e834ad
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration character -> org.hibernate.type.BasicTypeReference@710ae6a7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration char -> org.hibernate.type.BasicTypeReference@710ae6a7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@710ae6a7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@25d911a
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration string -> org.hibernate.type.BasicTypeReference@18026052
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@18026052
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@489f62a3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration characters -> org.hibernate.type.BasicTypeReference@6e068ac9
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@6e068ac9
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration [C -> org.hibernate.type.BasicTypeReference@6e068ac9
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@3d0352
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration text -> org.hibernate.type.BasicTypeReference@bb6f3f7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@388f1258
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration clob -> org.hibernate.type.BasicTypeReference@62058742
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@62058742
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@aca2fc3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@aca2fc3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@36df4c26
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@76828577
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@38732372
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@639cb788
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@2fee69a1
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@4d25f816
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@6c6c2a73
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@6c6c2a73
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@6a4af081
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@6a4af081
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@36b53f08
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@36b53f08
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@54329480
